titles,year_released,runtime,description,genres,images
Silo,(2023– ),49 min,Men and women live in a giant silo underground with several regulations which they believe are in place to protect them from the toxic and ruined world on the surface.,"Drama, Mystery, Sci-Fi","https://m.media-amazon.com/images/M/MV5BNTk3MGJkZGItNzRjYy00MDhiLWExMjUtOWU2Njc3YWRmOWE3XkEyXkFqcGdeQXVyMjkwOTAyMDU@._V1_UX140_CR0,0,140,209_AL_.jpg"
Shrinking,(2023– ),33 min,"A grieving therapist starts to tell his clients exactly what he thinks. Ignoring his training and ethics, he finds himself making huge changes to people's lives - including his own.","Comedy, Drama","https://m.media-amazon.com/images/M/MV5BYzhjMDIwOTgtYmMwNC00ZDIyLWJiMzUtMDM0YTY3M2VmOWNiXkEyXkFqcGdeQXVyMjkwOTAyMDU@._V1_UX140_CR0,0,140,209_AL_.jpg"
Black Mirror,(2011– ),60 min,"An anthology series exploring a twisted, high-tech multiverse where humanity's greatest innovations and darkest instincts collide.","Drama, Mystery, Sci-Fi","https://m.media-amazon.com/images/M/MV5BZTgyNTBkNzctN2I3NC00NTA1LWJiMDMtYzA2MmYyZjc1NWQzXkEyXkFqcGdeQXVyMTUzMTg2ODkz._V1_UY209_CR13,0,140,209_AL_.jpg"
The Crowded Room,(2023),47 min,"In Manhattan in the summer of 1979, a young man is arrested for a shocking crime, and an unlikely investigator must solve the mystery behind it before the true criminal strikes again.","Biography, Crime, Drama","https://m.media-amazon.com/images/M/MV5BYTkxMDc2OTUtNjAyYi00NDUyLWE4OGMtODQwMjY5ZmRmOTMwXkEyXkFqcGdeQXVyMjM3NjM3Mg@@._V1_UY209_CR0,0,140,209_AL_.jpg"
For All Mankind,(2019– ),60 min,"In an alternative version of 1969, the Soviet Union beats the United States to the Moon, and the space race continues on for decades with still grander challenges and goals.","Drama, Sci-Fi","https://m.media-amazon.com/images/M/MV5BM2IwMDZlZWQtZmU2Ni00MWFkLTk1ZGMtZTc3NGVkNjIzNzIzXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX140_CR0,0,140,209_AL_.jpg"
Beef,(2023),35 min,Two people let a road rage incident burrow into their minds and slowly consume their every thought and action.,"Comedy, Drama","https://m.media-amazon.com/images/M/MV5BOTNjOGVkYTctYjE1ZS00MTBhLTlkOTAtMGUzODZlNjAxMGM3XkEyXkFqcGdeQXVyNDk3MzMwMTI@._V1_UY209_CR0,0,140,209_AL_.jpg"
Bad Sisters,(2022– ),53 min,The Garvey sisters are bound together by their parents' deaths and a promise to always protect one another.,"Comedy, Drama, Thriller","https://m.media-amazon.com/images/M/MV5BNjc2ZWY3NjYtM2Q5OS00YTI1LTk5MDktYjYwYTk2Yzc4YTc4XkEyXkFqcGdeQXVyMTEyMjM2NDc2._V1_UX140_CR0,0,140,209_AL_.jpg"
Severance,(2022– ),55 min,"Mark leads a team of office workers whose memories have been surgically divided between their work and personal lives. When a mysterious colleague appears outside of work, it begins a journey to discover the truth about their jobs.","Drama, Mystery, Sci-Fi","https://m.media-amazon.com/images/M/MV5BMjkwZjcwMGQtNDAzOC00YjJiLThiYTgtNWU3ZjRiZmY2YzEzXkEyXkFqcGdeQXVyMTMzNDExODE5._V1_UX140_CR0,0,140,209_AL_.jpg"
The Office,(2005–2013),22 min,"A mockumentary on a group of typical office workers, where the workday consists of ego clashes, inappropriate behavior, and tedium.",Comedy,"https://m.media-amazon.com/images/M/MV5BMDNkOTE4NDQtMTNmYi00MWE0LWE4ZTktYTc0NzhhNWIzNzJiXkEyXkFqcGdeQXVyMzQ2MDI5NjU@._V1_UX140_CR0,0,140,209_AL_.jpg"
Tour de France: Unchained,(2023– ),45 min,Documentary on the journey of eight teams taking part in the world's most challenging Tour de France bike race.,"Documentary, Sport","https://m.media-amazon.com/images/M/MV5BYWI1M2ZkOTYtODI1Ni00MmI0LWJkYWYtOTZiN2FmZmY1YjZjXkEyXkFqcGdeQXVyMTMzNzIyNDc1._V1_UY209_CR4,0,140,209_AL_.jpg"
Formula 1: Drive to Survive,(2019– ),40 min,Docuseries following the FIA Formula One World Championship across multiple seasons.,"Documentary, Sport","https://m.media-amazon.com/images/M/MV5BMzVkMGU0YWMtOWQxMC00MjFhLTg1NjAtMDFlZTZlYzJlMjlhXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_UY209_CR4,0,140,209_AL_.jpg"
Break Point,(2023– ),50 min,Follows men's and women's pro tennis players throughout four Grand Slam tournaments.,"Documentary, Sport","https://m.media-amazon.com/images/M/MV5BNGFiMThhZmMtYjdiOC00YmI4LWI0YjItNDAwNTZmMWM2NjIxXkEyXkFqcGdeQXVyMTEzMTI1Mjk3._V1_UY209_CR2,0,140,209_AL_.jpg"
Icarus,(2017),120 min,"When Bryan sets out to uncover the truth about doping in sports, a chance meeting with a Russian scientist transforms his story from a personal experiment into a geopolitical thriller.","Documentary, Sport","https://m.media-amazon.com/images/M/MV5BNmQ1ZmJlMDEtMWRhMy00YzcyLWIwNzktMmUxZTQwNmQ2YzZkXkEyXkFqcGdeQXVyNDkzNTM2ODg@._V1_UX140_CR0,0,140,209_AL_.jpg"
Game of Thrones,(2011–2019),57 min,"Nine noble families fight for control over the lands of Westeros, while an ancient enemy returns after being dormant for a millennia.","Action, Adventure, Drama","https://m.media-amazon.com/images/M/MV5BN2IzYzBiOTQtNGZmMi00NDI5LTgxMzMtN2EzZjA1NjhlOGMxXkEyXkFqcGdeQXVyNjAwNDUxODI@._V1_UX140_CR0,0,140,209_AL_.jpg"
